TERM,MED_CODE_ID,MEDIAN_EVENT_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_PRESCRIPTIONS,AVG_PRESCRIPTIONS_PER_PATIENT,AVG_DURATION,MEDIAN_DURATION,STD_DURATION
Amoxicillin 500mg capsules,39732411000001106,69.000,23762,207367,0.114586,30149,1.27,10.259412,7.000,13.445870518
Omeprazole 20mg gastro-resistant capsules,42356411000001102,69.000,17002,207367,0.081988,23416,1.38,20.683379,28.000,252.706500306
Comirnaty COVID-19 mRNA Vaccine 30micrograms/0.3ml dose concentrate for dispersion for injection multidose vials (Pfizer Ltd),39115611000001103,69.000,15149,207367,0.073052,20482,1.35,341.795137,365.000,85.34591163
"Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes",39716811000001100,69.000,12301,207367,0.059318,12574,1.02,21.623032,28.000,62.360980148
"COVID-19 Vaccine Vaxzevria (ChAdOx1 S [recombinant]) not less than 2.5x100,000,000 infectious units/0.5ml dose suspension for injection multidose vials (AstraZeneca UK Ltd)",39114911000001105,70.000,12043,207367,0.058074,19524,1.62,341.174350,365.000,86.394784137
Doxycycline 100mg capsules,41948311000001104,69.000,10935,207367,0.052731,14296,1.31,22.122062,28.000,11.789953689
Paracetamol 500mg tablets,42109611000001110,69.000,10929,207367,0.052702,16350,1.5,16.847645,17.000,17.165398189
Flucloxacillin 500mg capsules,39692211000001107,69.000,9611,207367,0.046346,11799,1.23,10.322485,7.000,9.064048268
Prednisolone 5mg tablets,42087311000001104,69.000,9257,207367,0.044639,14769,1.6,18.491029,28.000,13.008240427
Amlodipine 5mg tablets,39732011000001102,69.000,7709,207367,0.037175,10247,1.33,22.379038,28.000,28.041528649
Nitrofurantoin 100mg modified-release capsules,39108511000001108,69.000,7114,207367,0.034305,9356,1.32,8.465477,7.000,8.780717454
"COVID-19 Vaccine Spikevax 0 (Zero)/O (Omicron) 0.1mg/ml dispersion for injection multidose vials (Moderna, Inc)",40801911000001102,69.000,7016,207367,0.033833,7021,1,350.452357,365.000,68.505808301
Salbutamol 100micrograms/dose inhaler CFC free,39113611000001102,69.000,6901,207367,0.033278,9100,1.32,24.488791,28.000,117.951641443
Trimethoprim 200mg tablets,41956211000001109,69.000,6620,207367,0.031923,8241,1.24,-3.341585,5.000,712.71747298
Amitriptyline 10mg tablets,42291111000001104,69.000,6585,207367,0.031754,8563,1.3,18.191872,28.000,409.874757643
"Adjuvanted quadrivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)",40085311000001103,69.000,6575,207367,0.031706,6651,1.01,25.470907,28.000,7.867560867
Atorvastatin 20mg tablets,39733011000001106,69.000,6468,207367,0.03119,8139,1.26,25.756973,28.000,26.275697878
Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd),37514711000001105,69.000,6327,207367,0.03051,6491,1.03,27.474811,28.000,15.515272218
Comirnaty Omicron XBB.1.5 COVID-19 mRNA Vaccine 30micrograms/0.3ml dose dispersion for injection multidose vials (Pfizer Ltd),42020711000001107,69.000,6116,207367,0.029493,6120,1,355.108497,365.000,56.837933961
Naproxen 500mg tablets,42107811000001100,69.000,6063,207367,0.029237,8008,1.32,17.048826,28.000,393.433267175
Clarithromycin 500mg tablets,41946511000001110,69.000,6025,207367,0.029054,7316,1.21,10.693138,7.000,9.284933656
Aspirin 75mg dispersible tablets,42291811000001106,69.000,5975,207367,0.028813,9341,1.56,15.242586,0.000,33.613912402
Lansoprazole 30mg gastro-resistant capsules,42354611000001108,69.000,5911,207367,0.028504,7877,1.33,23.683128,28.000,41.817618177
Co-codamol 30mg/500mg tablets,42009811000001101,69.000,5785,207367,0.027897,8513,1.47,7.826148,13.000,561.236075892
Co-codamol 8mg/500mg tablets,42010211000001106,69.000,5749,207367,0.027723,7695,1.34,16.264327,13.000,33.741560397
Comirnaty Original/Omicron BA.1 COVID-19 mRNA Vaccine 15micrograms/15micrograms/0.3ml dose dispersion for injection multidose vials (Pfizer Ltd),40851611000001102,69.000,5248,207367,0.025307,5254,1,347.745908,365.000,74.283077427
Hydroxocobalamin 1mg/1ml solution for injection ampoules,39111511000001100,69.000,5142,207367,0.024796,12412,2.41,26.679343,28.000,41.742415826
Bendroflumethiazide 2.5mg tablets,42206611000001103,69.000,5141,207367,0.024791,9095,1.77,9.860803,0.000,381.738490176
Co-dydramol 10mg/500mg tablets,42010611000001108,69.000,4788,207367,0.023089,6636,1.39,10.351266,13.000,434.17657398
Simvastatin 40mg tablets,42382311000001100,69.000,4766,207367,0.022983,7227,1.52,16.357963,0.000,28.367880393
Ibuprofen 400mg tablets,42104911000001104,69.000,4682,207367,0.022578,6228,1.33,-0.096981,28.000,834.138494503
Cetirizine 10mg tablets,42186511000001101,69.000,4681,207367,0.022573,5892,1.26,24.774270,28.000,29.883158936
Naproxen 250mg tablets,42107511000001103,69.000,4553,207367,0.021956,5927,1.3,20.876666,28.000,11.128501427
