TERM,MED_CODE_ID,MEDIAN_DIAGNOSIS_AGE,MEDIAN_EVENT_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_PRESCRIPTIONS,AVG_PRESCRIPTIONS_PER_PATIENT,AVG_DURATION,MEDIAN_DURATION,STD_DURATION
Nitrofurantoin 100mg modified-release capsules,39108511000001108,74.000,74.000,872,5166,0.168796,1187,1.36,9.807077,7.000,8.890130426
Amoxicillin 500mg capsules,39732411000001106,74.000,73.000,679,5166,0.131436,881,1.3,9.959137,7.000,9.247882352
Trimethoprim 200mg tablets,41956211000001109,71.000,70.000,622,5166,0.120403,764,1.23,10.730366,7.000,10.997107665
Comirnaty COVID-19 mRNA Vaccine 30micrograms/0.3ml dose concentrate for dispersion for injection multidose vials (Pfizer Ltd),39115611000001103,78.000,77.000,513,5166,0.099303,751,1.46,326.857523,365.000,106.838031651
Omeprazole 20mg gastro-resistant capsules,42356411000001102,71.000,70.000,433,5166,0.083817,559,1.29,22.611807,28.000,15.854895459
Doxycycline 100mg capsules,41948311000001104,75.000,74.000,363,5166,0.070267,489,1.35,22.877301,28.000,11.989291514
Flucloxacillin 500mg capsules,39692211000001107,75.000,74.000,278,5166,0.053813,336,1.21,11.449405,7.000,9.03312969
Prednisolone 5mg tablets,42087311000001104,75.000,74.000,268,5166,0.051878,469,1.75,19.895522,28.000,14.198221297
"COVID-19 Vaccine Vaxzevria (ChAdOx1 S [recombinant]) not less than 2.5x100,000,000 infectious units/0.5ml dose suspension for injection multidose vials (AstraZeneca UK Ltd)",39114911000001105,71.000,71.000,250,5166,0.048393,416,1.66,328.545673,365.000,104.797856276
Paracetamol 500mg tablets,42109611000001109,74.500,74.000,238,5166,0.04607,318,1.34,20.613208,25.000,16.824706238
Spikevax XBB.1.5 COVID-19 mRNA Vaccine 0.1mg/1ml dispersion for injection multidose vials (Moderna Biotech Distributor UK Ltd),42023311000001102,81.000,81.000,216,5166,0.041812,218,1.01,361.908257,365.000,32.204284932
Pivmecillinam 200mg tablets,39702711000001106,77.000,76.000,216,5166,0.041812,299,1.38,22.364548,28.000,9.853160863
"COVID-19 Vaccine Spikevax 0 (Zero)/O (Omicron) 0.1mg/ml dispersion for injection multidose vials (Moderna, Inc)",40801911000001102,77.000,76.000,214,5166,0.041425,215,1,343.055814,365.000,83.342367023
"Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes",39716811000001100,73.000,72.000,211,5166,0.040844,214,1.01,22.481308,28.000,12.543525222
Comirnaty Original/Omicron BA.4-5 COVID-19 mRNA Vaccine 15micrograms/15micrograms/0.3ml dose dispersion for injection multidose vials (Pfizer Ltd),41239511000001102,80.000,79.000,206,5166,0.039876,223,1.08,351.399103,365.000,66.470527228
Tamsulosin 400microgram modified-release capsules,38754011000001109,74.000,73.000,204,5166,0.039489,253,1.24,24.968379,28.000,19.954486613
