TERM,SNOMED_ID,MEDIAN_DIAGNOSIS_AGE,MEDIAN_SNOMED_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_EVENT_COUNT,AVG_EVENTS_PER_PATIENT,AVG_VALUE,MEDIAN_VALUE,STD_VALUE,FREQ_VALUE
Serum creatinine level,1000731000000107,74.000,74.000,4693,6480,0.724228,8996,1.92,NaN,88,NaN,81
Serum sodium level,1000661000000107,74.000,74.000,4673,6480,0.721142,8776,1.88,139.272914521,140,3.124891371,140
Serum potassium level,1000651000000109,74.000,74.000,4672,6480,0.720988,8774,1.88,NaN,4.4,NaN,4.3
Systolic arterial pressure,72313002,73.000,73.000,4624,6480,0.71358,10577,2.29,137.25626596,136,17.744985109,140
Diastolic arterial pressure,1091811000000102,73.000,73.000,4624,6480,0.71358,10575,2.29,77.313244751,78,10.67760317,80
O/E - blood pressure reading,163020007,73.000,73.000,4588,6480,0.708025,10472,2.28,NaN,NaN,NaN,NaN
Serum albumin level,1000821000000103,74.000,74.000,4216,6480,0.650617,6971,1.65,41.120397008,41,3.862814912,41
Haemoglobin estimation,1022431000000105,74.000,74.000,4211,6480,0.649846,7323,1.74,121.205526857,135,43.612021589,144
Platelet count,1022651000000100,74.000,74.000,4211,6480,0.649846,7307,1.74,256.456868132,245,86.718599292,229
Total white cell count,1022541000000102,74.000,74.000,4197,6480,0.647685,7281,1.73,NaN,7.2,NaN,6.8
MCV - Mean corpuscular volume,1022491000000106,74.000,74.000,4196,6480,0.647531,7258,1.73,92.158112583,92.4,6.308133782,92
Neutrophil count,1022551000000104,74.000,74.000,4183,6480,0.645525,7249,1.73,NaN,4.32,NaN,3.5
MCH - Mean corpuscular haemoglobin,1022471000000107,74.000,74.000,4180,6480,0.645062,7221,1.73,30.250059631,30.4,2.294175036,30
Lymphocyte count,1022581000000105,74.000,74.000,4178,6480,0.644753,7222,1.73,NaN,1.84,NaN,1.9
Eosinophil count,1022561000000101,74.000,74.000,4178,6480,0.644753,7225,1.73,NaN,0.2,NaN,0.1
Monocyte count,1022591000000107,74.000,74.000,4178,6480,0.644753,7221,1.73,NaN,0.59,NaN,0.5
Red blood cell count,1022451000000103,74.000,74.000,4174,6480,0.644136,7258,1.74,18.267242094,4.57,719.589522043,4.62
Serum alkaline phosphatase level,1000621000000104,74.000,73.000,4168,6480,0.64321,6777,1.63,89.8775,82,48.03677385,82
Basophil count,1022571000000108,74.000,74.000,4134,6480,0.637963,7137,1.73,NaN,0.04,NaN,0
Haematocrit,1022291000000105,75.000,74.000,4010,6480,0.618827,6933,1.73,0.725062825,0.42,3.587752101,0.42
Liver function test,997531000000108,74.000,74.000,3815,6480,0.588735,6071,1.59,NaN,NaN,NaN,NaN
FBC - full blood count,1022441000000101,74.000,74.000,3789,6480,0.584722,6510,1.72,NaN,NaN,NaN,NaN
Serum urea level,1028131000000104,74.000,74.000,3774,6480,0.582407,6934,1.84,6.934914666,6.3,3.022675565,5.4
Serum alanine aminotransferase level,1018251000000107,75.000,74.000,3674,6480,0.566975,5895,1.6,24.673716527,20,25.803580625,18
MCHC - Mean corpuscular haemoglobin concentration,1022481000000109,74.000,74.000,3665,6480,0.565586,6325,1.73,278.123817664,324,109.391593309,328
Serum cholesterol level,1005671000000105,73.000,72.000,3375,6480,0.520833,4448,1.32,4.509829507,4.4,1.153373147,4.3
GFR (glomerular filtration rate) calculated by abbreviated Modification of Diet in Renal Disease Study Group calculation,1020291000000106,74.000,74.000,3374,6480,0.520679,6264,1.86,NaN,71,NaN,90
Serum high density lipoprotein cholesterol level,1005681000000107,73.000,73.000,3372,6480,0.52037,4323,1.28,NaN,1.28,NaN,1.1
Red blood cell distribution width,993501000000105,74.000,74.000,3305,6480,0.510031,5752,1.74,13.905588858,13.6,1.581101627,13.2
Body weight,27113001,73.000,72.000,3261,6480,0.503241,4926,1.51,83.159619435,81,19.44804879,80
Haemoglobin A1c level - International Federation of Clinical Chemistry and Laboratory Medicine standardised,999791000000106,75.000,74.000,3120,6480,0.481481,4554,1.46,NaN,43,NaN,40
Body mass index,60621009,73.000,72.000,3053,6480,0.471142,4480,1.47,NaN,28.03,NaN,29.4
Serum cholesterol/high density lipoprotein ratio,1015681000000109,74.000,74.000,2894,6480,0.446605,3704,1.28,NaN,3.3,NaN,3.2
Serum TSH (thyroid stimulating hormone) level,1022791000000101,74.000,74.000,2816,6480,0.434568,3643,1.29,NaN,1.81,NaN,1.5
Serum triglycerides level,1005691000000109,73.000,73.000,2812,6480,0.433951,3514,1.25,1.682547062,1.4,1.051680152,0.9
Urea and electrolytes level,1000971000000107,74.000,74.000,2748,6480,0.424074,4896,1.78,NaN,NaN,NaN,NaN
Referral letter,25611000000107,74.000,74.000,2713,6480,0.418673,4659,1.72,NaN,NaN,NaN,NaN
Blood sample taken,313334002,76.000,75.000,2688,6480,0.414815,5527,2.06,NaN,NaN,NaN,NaN
Pulse rate,78564009,75.000,75.000,2511,6480,0.3875,4144,1.65,NaN,74,NaN,72
Serum low density lipoprotein cholesterol level,1022191000000100,74.000,73.000,2482,6480,0.383025,3103,1.25,NaN,2.3,NaN,1.8
Serum total bilirubin level,997591000000109,74.000,73.000,2324,6480,0.358642,3496,1.5,NaN,9,NaN,7
Standing height,248333004,73.000,72.000,2227,6480,0.343673,2799,1.26,170.122222739,171.5,39.386694066,170
Serum lipids level,1005661000000103,73.000,73.000,2142,6480,0.330556,2723,1.27,NaN,NaN,NaN,NaN
Urine culture,1023711000000100,74.000,73.000,2140,6480,0.330247,3958,1.85,NaN,NaN,NaN,NaN
Serum non high density lipoprotein cholesterol level,1006191000000106,75.500,75.000,2116,6480,0.326543,2706,1.28,3.028400592,2.9,1.02257661,2.3
Serum bilirubin level,999691000000104,74.000,74.000,1846,6480,0.284877,3099,1.68,NaN,10,NaN,9
Seen in urology clinic,185220009,73.000,73.000,1736,6480,0.267901,3348,1.93,NaN,NaN,NaN,NaN
Clinical document,1712901000006107,72.000,72.000,1708,6480,0.26358,11194,6.55,NaN,NaN,NaN,NaN
Serum calcium level,1000691000000101,74.000,74.000,1703,6480,0.262809,2190,1.29,NaN,2.35,NaN,2.35
Serum total protein,1000811000000109,74.000,74.000,1676,6480,0.258642,2581,1.54,69.579602958,69,4.588603789,69
Fast track referral for suspected urological cancer,276431000000102,74.000,74.000,1590,6480,0.24537,1779,1.12,NaN,NaN,NaN,NaN
Ex-smoker,8517006,75.000,74.000,1587,6480,0.244907,2205,1.39,NaN,1986.5,NaN,NaN
Weight monitoring,307818003,76.000,76.000,1507,6480,0.232562,2070,1.37,NaN,NaN,NaN,NaN
Serum ferritin level,993381000000106,76.000,75.000,1456,6480,0.224691,1903,1.31,NaN,86,NaN,18
Urine microscopy,1014831000000107,74.000,74.000,1426,6480,0.220062,2752,1.93,NaN,NaN,NaN,NaN
Serum globulin level,1001231000000108,74.000,74.000,1422,6480,0.219444,2237,1.57,28.331390135,28,5.356476091,26
Serum PSA (prostate specific antigen) level,1000381000000105,75.000,75.000,1405,6480,0.216821,1772,1.26,NaN,1.42,NaN,0.01
Template entry - EHR composition type,25721000000107,77.000,76.000,1343,6480,0.207253,3618,2.69,NaN,NaN,NaN,NaN
