CODE,EVENT_TYPE,CATEGORY,TERM,combined_score,combined_rank,code_tier,category_model_tier
89164003,observation,SYMPTOM_BREAST_LUMP,Lumpy breasts,0.5276568950541976,6.0,STRONG,STRONG
162160003,observation,SYMPTOM_BREAST_LUMP,Breast lump symptom NOS,0.4224382947529228,9.0,STRONG,STRONG
160660005,observation,LIFE_DIET,Patient-initiated diet,0.3271866267280897,14.0,STRONG,MEDIUM
193611000001107,medication,OC,Micronor 350microgram tablets (Janssen-Cilag Ltd),0.2716738461099525,25.0,STRONG,MEDIUM
315251009,observation,SYMPTOM_BREAST_PAIN,Unilateral mastalgia,0.263119760084625,28.0,STRONG,MEDIUM
679511000001100,medication,HRT,Premique 0.625mg/5mg tablets (Pfizer Ltd),0.2519836241405891,35.0,STRONG,MEDIUM
160628002,observation,LIFE_PHYSACT,Exercise grading NOS,0.248985989885247,36.0,MEDIUM,LOW
71211000001107,medication,HRT,Vagifem 25microgram vaginal tablets (Novo Nordisk Ltd),0.2465912383819,37.0,MEDIUM,MEDIUM
557911000001109,medication,HRT,Prempak-C 1.25mg/0.15mg tablets (Pfizer Ltd),0.2216806763825249,51.0,MEDIUM,MEDIUM
3405311000001106,medication,HRT,Estradiol 25microgram pessaries,0.2042302486011734,84.0,MEDIUM,MEDIUM
211611000001106,medication,DM_MONITORING,OneTouch Ultra testing strips (LifeScan),0.2023415512099251,90.0,MEDIUM,LOW
380211000001105,medication,OC,Cilest 35microgram/250microgram tablets (Janssen-Cilag Ltd),0.2023328378476923,91.0,MEDIUM,MEDIUM
3040311000001103,medication,HRT,Climesse tablets (Novartis Pharmaceuticals UK Ltd),0.201710876940626,93.0,MEDIUM,MEDIUM
1029061000000102,observation,LAB_LIPIDS,Fasting blood lipids,0.2015982193133823,94.0,MEDIUM,STRONG
854971000006104,observation,LIFE_DIET,Dietary advice given,0.198722591201465,99.0,MEDIUM,MEDIUM
462011000001107,medication,OC,Femulen 500microgram tablets (Pfizer Ltd),0.1981148959451577,103.0,MEDIUM,MEDIUM
271508001,observation,LAB_SPIRO_FLOW,Predicted peak flow,0.1968438127738064,105.0,MEDIUM,MEDIUM
3215411000001100,medication,HRT,Estracombi TTS patches (Novartis Pharmaceuticals UK Ltd),0.1968106515657284,106.0,MEDIUM,MEDIUM
35908511000001101,medication,RESPIRATORY_INHALERS,Beclometasone 200micrograms/dose inhaler,0.192310712264089,119.0,MEDIUM,LOW
853681000006106,observation,SYMPTOM_BREAST_LUMP,Lump in axilla,0.191830402166598,122.0,MEDIUM,STRONG
3358411000001107,medication,HRT,Climagest 1mg tablets (Novartis Pharmaceuticals UK Ltd),0.191315934193313,125.0,MEDIUM,MEDIUM
269845004,observation,LAB_TFT,Thyroid hormone tests,0.1912362485799197,127.0,MEDIUM,LOW
3470811000001103,medication,HRT,Prempak-C 0.625mg/0.15mg tablets (Pfizer Ltd),0.1900977475016775,134.0,MEDIUM,MEDIUM
857141000006100,observation,LAB_LIPIDS,LDL cholesterol level,0.1897188585915271,136.0,MEDIUM,STRONG
2942911000001101,medication,HRT,Estraderm TTS 50 patches (Novartis Pharmaceuticals UK Ltd),0.18947621598259,137.0,MEDIUM,MEDIUM
9459511000001109,medication,DM_MONITORING,OneTouch UltraSoft lancets 0.4mm/28gauge (LifeScan),0.1866549714341661,152.0,MEDIUM,LOW
1026721000000103,observation,LAB_LIPIDS,Serum fasting lipoprotein level,0.1865475649650921,153.0,MEDIUM,STRONG
134388005,observation,COMORBID_DM_FOOT,Monofilament foot sensation test,0.1859121418866564,159.0,MEDIUM,LOW
3058111000001101,medication,OC,Loestrin 20 tablets (Galen Ltd),0.1853415457093681,162.0,MEDIUM,MEDIUM
2889311000001109,medication,HRT,Estraderm TTS 25 patches (Novartis Pharmaceuticals UK Ltd),0.1846698968208965,167.0,MEDIUM,MEDIUM
309544001,observation,LIFE_DIET,Dietary salt intake,0.1839697514859651,169.0,MEDIUM,MEDIUM
3199011000001109,medication,HRT,Nuvelle tablets (Bayer Plc),0.1832820567855843,173.0,MEDIUM,MEDIUM
269845004,observation,LAB_TFT,Thyroid hormone tests,0.1826531131317477,178.0,MEDIUM,LOW
3058411000001106,medication,OC,Loestrin 30 tablets (Galen Ltd),0.1771971541506397,210.0,MEDIUM,MEDIUM
496471000000109,observation,SYMPTOM_BREAST_LUMP,"[D]Local superficial swelling, mass or lump",0.1767065506938308,211.0,MEDIUM,STRONG
2845811000001107,medication,HRT,Climaval 1mg tablets (Novartis Pharmaceuticals UK Ltd),0.1755216295590685,214.0,MEDIUM,MEDIUM
271307007,observation,LAB_SPIRO_FLOW,More than 80% of predicted peak flow rate,0.173036060179983,223.0,MEDIUM,MEDIUM
