category,pct_12mo,tier_12mo,pct_1mo,tier_1mo,overall_tier
LIFE_BMI,10.508,STRONG,4.853,STRONG,STRONG
LIFE_ALCOHOL,6.337,STRONG,4.563,STRONG,STRONG
SYMPTOM_BREAST_LUMP,1.578,MEDIUM,4.539,STRONG,STRONG
LAB_LIPIDS,4.405,STRONG,2.552,MEDIUM,STRONG
LAB_FT4_SERUM,2.982,MEDIUM,1.294,MEDIUM,MEDIUM
LAB_TFT_TEST,1.546,MEDIUM,0.492,LOW,MEDIUM
LAB_SPIRO_FLOW,1.42,MEDIUM,0.412,LOW,MEDIUM
LIFE_SMOKING,1.223,MEDIUM,1.041,MEDIUM,MEDIUM
OC,0.935,MEDIUM,1.088,MEDIUM,MEDIUM
LAB_FT3,0.879,MEDIUM,0.371,LOW,MEDIUM
LIFE_DIET,0.874,MEDIUM,0.742,MEDIUM,MEDIUM
LIFE_ALC_EDU,0.781,MEDIUM,0.341,LOW,MEDIUM
LAB_LH,0.688,MEDIUM,0.244,LOW,MEDIUM
COMORBID_ASTHMA,0.678,MEDIUM,0.189,LOW,MEDIUM
SYMPTOM_BREAST_PAIN,0.425,LOW,0.609,MEDIUM,MEDIUM
LAB_TSH,0.44,LOW,0.597,MEDIUM,MEDIUM
LAB_SEX_HORMONES_OTHER,0.553,MEDIUM,0.153,LOW,MEDIUM
HRT,0.55,MEDIUM,0.354,LOW,MEDIUM
BREAST_BENIGN,0.526,MEDIUM,0.225,LOW,MEDIUM
REPRO_MENOPAUSE,0.505,MEDIUM,0.228,LOW,MEDIUM
REPRO_PARITY,0.261,LOW,0.487,LOW,LOW
LAB_SPIRO_VOLUMES,0.482,LOW,0.137,LOW,LOW
LAB_FT4,0.473,LOW,0.338,LOW,LOW
COMORBID_CVD_FH_IHD_LT60,0.376,LOW,0.151,LOW,LOW
COMORBID_DM_FOOT,0.345,LOW,0.201,LOW,LOW
LAB_TFT,0.319,LOW,0.336,LOW,LOW
LAB_OESTRADIOL,0.332,LOW,0.115,LOW,LOW
FAMHX_BREAST_OVARIAN,0.288,LOW,0.28,LOW,LOW
DM_MONITORING,0.263,LOW,0.15,LOW,LOW
COMORBID_DM,0.245,LOW,0.065,LOW,LOW
COMORBID_ASTHMA_CONTROL,0.243,LOW,0.107,LOW,LOW
HISTORY_OOPHORECTOMY,0.239,LOW,0.144,LOW,LOW
LIFE_PHYSACT,0.238,LOW,0.084,LOW,LOW
OVARIAN_CONDITIONS,0.207,LOW,0.087,LOW,LOW
LAB_PROLACTIN,0.196,LOW,0.05,LOW,LOW
COMORBID_HTN,0.171,LOW,0.071,LOW,LOW
COMORBID_CVD_FH_IHD_GT60,0.158,LOW,0.022,LOW,LOW
COMORBID_HYPOTHYROID,0.155,LOW,0.012,LOW,LOW
LAB_FSH,0.123,LOW,0.007,LOW,LOW
LAB_HBA1C,0.123,LOW,0.061,LOW,LOW
COMORBID_CVD_VARICOSE,0.113,LOW,0.042,LOW,LOW
LIFE_ALC_SCREEN,0.11,LOW,0.012,LOW,LOW
SYMPTOM_NIPPLE,0.07,LOW,0.1,LOW,LOW
FAMHX_OTHER_CANCERS,0.097,LOW,0.067,LOW,LOW
LIFE_SMOKE_CO,0.094,LOW,0.031,LOW,LOW
RESPIRATORY_INHALERS,0.083,LOW,0.014,LOW,LOW
LAB_GONADOTROPHIN,0.075,LOW,0.051,LOW,LOW
COMORBID_CVD_STATIN_PROPHYL,0.072,LOW,0.047,LOW,LOW
LAB_TSH_PLASMA,0.054,LOW,0.001,LOW,LOW
COMORBID_DM_EYE,0.048,LOW,0.006,LOW,LOW
COMORBID_HYPERCHOL,0.047,LOW,0.008,LOW,LOW
REPRO_TAH,0.043,LOW,0.0,ZERO,LOW
COMORBID_IHD,0.034,LOW,0.028,LOW,LOW
REPRO_PMS,0.03,LOW,0.004,LOW,LOW
LAB_TPO_AB,0.008,LOW,0.005,LOW,LOW
REPRO_ATROPHIC_VAG,0.0,ZERO,0.008,LOW,LOW
COMORBID_CVD,0.0,ZERO,0.0,ZERO,ZERO
HEREDITARY_BRCA,0.0,ZERO,0.0,ZERO,ZERO
