id,name
1000381000000105,Serum PSA (prostate specific antigen) level
1000481000000100,Serum free PSA (prostate specific antigen) level
1000491000000103,Serum free:total PSA (prostate specific antigen) ratio
1000651000000109,Serum potassium level
1000661000000107,Serum sodium level
1000691000000101,Serum calcium level
1000731000000107,Serum creatinine level
1000811000000109,Serum total protein
1000821000000103,Serum albumin level
1000841000000105,Serum alkaline phosphatase liver isoenzyme level
1000851000000108,Plasma GGT level
1000961000000100,Plasma urea level
1000971000000107,Urea and electrolytes level
1001011000000107,Plasma creatinine level
1001231000000108,Serum globulin level
1001371000000100,Serum CRP (C reactive protein) level
1005651000000101,Plasma total protein
1006591000000104,Total PSA (prostate specific antigen) level
1007881000000101,Urine dipstick test
1011481000000105,eGFR using creatinine CKD-EPI
1013041000000106,Plasma alkaline phosphatase level
1013211000000103,Plasma alanine aminotransferase level
1013361000000105,Plasma albumin level
1014831000000107,Urine microscopy
1014851000000100,Urine leucocyte test
1017381000000106,Plasma sodium level
1017391000000108,Plasma calcium level
1017401000000106,Plasma potassium level
1018251000000107,ALT/SGPT serum level
10186811000001105,Tabphyn MR 400microgram capsules
10188911000001101,Pamsvax XL 400microgram capsules
1020291000000106,GFR calculated by abbreviated MDRD
1022291000000105,Haematocrit
1022431000000105,Haemoglobin estimation
1022441000000101,FBC - full blood count
1022451000000103,Red blood cell count
1022471000000107,MCH - Mean corpuscular haemoglobin
1022481000000109,MCHC - Mean corpuscular haemoglobin concentration
1022491000000106,MCV - Mean corpuscular volume
1022511000000103,Erythrocyte sedimentation rate
1022541000000102,Total white cell count
1022551000000104,Neutrophil count
1022561000000101,Eosinophil count
1022571000000108,Basophil count
1022581000000105,Lymphocyte count
1022591000000107,Monocyte count
1022651000000100,Platelet count
1023711000000100,Urine culture
1023721000000106,Urine nitrite level
1026761000000106,Total bilirubin level
1027171000000101,Prolactin level
1027791000000103,Urine microalbumin/creatinine ratio
1027931000000101,Blood calcium level
1028081000000104,Direct (conjugated) bilirubin
1028091000000102,GGT level
1028101000000105,Creatine kinase level
1028131000000104,Urea and electrolytes
1028281000000106,Blood urea
1028641000000101,Coagulation tests
1028731000000100,Urine protein/creatinine ratio
1029801000000105,Total 25-hydroxyvitamin D level
1030021000000101,Free PSA (prostate specific antigen) level
1030031000000104,Free:total PSA (prostate specific antigen) ratio
1030791000000100,Prostate specific antigen level
1031081000000108,Liver function tests - general
1031101000000102,Aspartate aminotransferase level
1038641000000104,Urine microscopy: red cells
1041881000000101,Urine microscopy: pus cells
11441004,Prostatism
128606002,Urological disorder
129252005,Insertion of suprapubic catheter
130951007,Bladder retention of urine
13301000087109,Ultrasound of bilateral kidneys
135885005,Advice about impotence
137771000006103,Smoking Age Started
139394000,Nocturia D
14608411000001108,Tolterodine 4mg modified-release capsules
14610411000001107,Potassium citrate mixture
160290005,Family history of neoplasm of male genital tract
160618006,Current non-smoker
