id,name,active,notes
1000821000000103,Serum albumin level,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
1017311000000104,Blood oxygen saturation (calculated),y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
1022551000000104,Neutrophil count,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
102589003,Atypical chest pain,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
103228002,Haemoglobin saturation with oxygen,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
106511000001103,Salamol 100micrograms inhaler,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
1079461000000108,NAFLD (Non-Alcoholic Fatty Liver Disease) fibrosis score,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
1087441000000106,Smoking cessation programme declined,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
1091811000000102,Diastolic arterial pressure,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
11833005,Dry cough,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
127783003,Spirometry,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
12906411000001100,Fostair 100/6 inhaler,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
13645005,COPD - Chronic obstructive pulmonary disease,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
160603005,Light cigarette smoker (1-9 cigs/day),y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
160604004,Moderate cigarette smoker (10-19 cigs/day),y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
160605003,Heavy cigarette smoker (20-39 cigs/day),y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
160606002,Very heavy cigarette smoker (40+ cigs/day),y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
160625004,Date ceased smoking,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
161635002,History of asbestos exposure,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
161924005,Productive cough -green sputum,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
161929000,Chesty cough,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
161947006,Nocturnal cough / wheeze,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
162573006,Suspected lung cancer,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
164457001,O/E - finger clubbing,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
168734001,Standard chest X-ray abnormal,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
170614009,Inhaler technique observed,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
170635006,Asthma not disturbing sleep,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
170638008,Asthma not limiting activities,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
170661005,Using inhaled steroids - normal dose,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
171255006,Spirometry screening,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
1879891000006107,Non-alcoholic fatty liver disease (NAFLD) fibrosis score,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
195647007,Acute respiratory infections,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
195742007,Acute lower respiratory tract infection,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
195967001,Asthma,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
1970531000006107,COPD assessment test score - cough,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
1970541000006102,COPD assessment test score - phlegm (mucus),y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
1970561000006103,COPD assessment test score - breathless walking up hill/stairs,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
199251000000107,Fast track cancer referral,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
201031000000108,Asthma trigger - respiratory infection,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
204991000000107,Suspected chronic obstructive pulmonary disease,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
222311000001102,Ventolin 100micrograms Evohaler,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
2237002,Pleuritic pain,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
225323000,Smoking cessation advice,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
225324006,Advice on effects of smoking on health,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
230057008,Cigar consumption,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
24184005,Raised blood pressure,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
249366005,Has nosebleeds - epistaxis,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
251944000,FEV1/FVC ratio,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
263747008,Emphysematous,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
266918002,Tobacco smoking consumption,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
266920004,Trivial cigarette smoker (less than one cigarette/day),y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
266921000,Ex-trivial cigarette smoker (<1/day),y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
266922007,Ex-light cigarette smoker (1-9/day),y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
266923002,Ex-moderate cigarette smoker (10-19/day),y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
266924008,Ex-heavy cigarette smoker (20-39/day),y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
266925009,Ex-very heavy cigarette smoker (40+/day),y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
267024001,Abnormal weight loss,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
267036007,Breathlessness Dyspnoea,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
270442000,Asthma monitoring check done,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
27113001,Body weight,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
275908000,Asthma monitoring,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
276491000000101,Fast track referral for suspected lung cancer,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
281018007,Ex-cigarette smoker,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
