EVENT_TYPE	CATEGORY	TERM	CODE
OBS	B_SYMPTOMS	Night sweats	42984000
OBS	B_SYMPTOMS	[D]Abnormal loss of weight	267024001
OBS	B_SYMPTOMS	Complaining of weight loss	198511000000103
OBS	B_SYMPTOMS	Pyrexia symptoms	248427009
OBS	B_SYMPTOMS	Pyrexia of unknown origin	7520000
OBS	B_SYMPTOMS	[D]Tiredness	267031002
OBS	B_SYMPTOMS	Temperature symptoms	271399003
OBS	LYMPHADENOPATHY	[D]Swollen glands	30746006
OBS	LYMPHADENOPATHY	Mass of neck	299703001
OBS	LYMPHADENOPATHY	[D]Lump in head or neck	274751001
OBS	LYMPHADENOPATHY	Localised swelling, mass and lump, neck	274747003
OBS	LYMPHADENOPATHY	Localised enlarged lymph nodes	274744005
OBS	LYMPHADENOPATHY	Generalised enlarged lymph nodes	274741002
OBS	LYMPHADENOPATHY	Cervical lymphadenopathy	127086001
OBS	LYMPHADENOPATHY	O/E - inguinal lymphadenopathy	164151005
OBS	LYMPHADENOPATHY	O/E -axillary lymphadenopathy	164150006
OBS	LYMPHADENOPATHY	[D]Swelling in head or neck	274755005
OBS	LYMPHADENOPATHY	[D]Lump, localised and superficial	496501000000102
OBS	LYMPHADENOPATHY	[D]Local superficial swelling, mass or lump	496471000000109
OBS	LYMPHADENOPATHY	Neck swelling	301777002
OBS	LYMPHADENOPATHY	Groin swelling	274743004
OBS	LYMPHADENOPATHY	Groin mass	281398003
OBS	LYMPHADENOPATHY	Mass of axilla	300863000
OBS	LYMPHADENOPATHY	Lump in axilla	853681000006106
OBS	LYMPHADENOPATHY	Mass of head	432525007
OBS	LYMPHADENOPATHY	Complaining of a swelling	162410003
OBS	LYMPHADENOPATHY	Swelling	65124004
OBS	LYMPHADENOPATHY	Acute lymphadenitis	41174002
OBS	LYMPHADENOPATHY	Structure of lymph node	59441001
OBS	LYMPHADENOPATHY	Cervical lymph node structure	81105003
OBS	LYMPHADENOPATHY	Axillary lymph node structure	68226007
OBS	LYMPHADENOPATHY	Mediastinal lymph node structure	62683002
OBS	LYMPHADENOPATHY	Structure of retroperitoneal lymph node	91394001
OBS	LYMPHADENOPATHY	Mass of thoracic structure	440299000
OBS	LYMPHADENOPATHY	Intra-abdominal and pelvic swelling, mass and lump	274719002
OBS	LYMPHADENOPATHY	Abdominal mass	271860004
OBS	LYMPHADENOPATHY	Parotid lump	315284009
OBS	LYMPHADENOPATHY	O/E - parotid swelling	162831005
OBS	LYMPHADENOPATHY	O/E - submandibular swelling	162832003
OBS	SPLENOMEGALY	[D]Spleen enlargement	16294009
OBS	SKIN_SYMPTOMS	Pruritus of skin	279333002
OBS	SKIN_SYMPTOMS	Complaining of a rash	162415008
OBS	SKIN_SYMPTOMS	O/E - rash present	268911002
OBS	SKIN_SYMPTOMS	O/E - itchy rash	304386008
OBS	SKIN_SYMPTOMS	Complaining of itching	267105001
OBS	SKIN_SYMPTOMS	Symptoms of skin and integumentary tissue	271804005
OBS	HAEMATOLOGICAL_ABNORMALITIES	Large unstained cells	993551000000106
OBS	HAEMATOLOGICAL_ABNORMALITIES	Abnormal lymphocyte count	1052251000000101
OBS	HAEMATOLOGICAL_ABNORMALITIES	Lymphocytosis	67023009
OBS	HAEMATOLOGICAL_ABNORMALITIES	Lymphocytosis - absolute	165531008
OBS	HAEMATOLOGICAL_ABNORMALITIES	Lymphopenia	48813009
OBS	HAEMATOLOGICAL_ABNORMALITIES	Leucopenia	419188005
OBS	HAEMATOLOGICAL_ABNORMALITIES	Neutropenia	165517008
OBS	HAEMATOLOGICAL_ABNORMALITIES	Thrombocytopenic disorder	302215000
OBS	HAEMATOLOGICAL_ABNORMALITIES	Pancytopenia	127034005
OBS	HAEMATOLOGICAL_ABNORMALITIES	ESR raised	165468009
OBS	HAEMATOLOGICAL_ABNORMALITIES	Full blood count outside reference range	165408006
OBS	HAEMATOLOGICAL_ABNORMALITIES	Platelet count outside reference range	165558001
OBS	HAEMATOLOGICAL_ABNORMALITIES	Other specified anaemias	271737000
OBS	HAEMATOLOGICAL_ABNORMALITIES	Microcytic hypochromic anaemia	44666001
OBS	HAEMATOLOGICAL_ABNORMALITIES	Vitamin B12 deficiency anaemia	49472006
OBS	HAEMATOLOGICAL_ABNORMALITIES	Paraproteinaemia	35601003
OBS	HAEMATOLOGICAL_ABNORMALITIES	Monoclonal paraproteinaemia	267440005
OBS	HAEMATOLOGICAL_ABNORMALITIES	Monoclonal paraproteinaemia (variant)	109983007
OBS	HAEMATOLOGICAL_ABNORMALITIES	Monoclonal gammopathy of uncertain significance	277577000
OBS	INFECTION_MARKERS	Epstein-Barr virus serology	1009801000000100
OBS	INFECTION_MARKERS	Epstein-Barr virus capsid IgG level	995991000000106
OBS	INFECTION_MARKERS	Epstein-Barr virus viral capsid antigen IgM level	1004861000000100
OBS	INFECTION_MARKERS	Epstein-Barr virus antibody titre	1008761000000100
OBS	INFECTION_MARKERS	Epstein-Barr virus nuclear IgG level	996001000000105
OBS	INFECTION_MARKERS	Glandular fever screening test	1029871000000102
OBS	INFECTION_MARKERS	Paul Bunnell test	993571000000102
OBS	INFECTION_MARKERS	Infectious mononucleosis	271558008
OBS	INFECTION_MARKERS	Cytomegalovirus infection	28944009
OBS	INFECTION_MARKERS	HTLV-3 antibody positive	165816005
OBS	AUTOIMMUNE_IMMUNE	Rheumatoid arthritis latex test	1029271000000101
OBS	AUTOIMMUNE_IMMUNE	Rheumatoid arthritis screening test	1016811000000108
OBS	AUTOIMMUNE_IMMUNE	Rheumatoid arthritis annual review	847261000000104
OBS	AUTOIMMUNE_IMMUNE	Seronegative arthritis	399112009
OBS	AUTOIMMUNE_IMMUNE	Musculoskeletal and connective tissue disorder	312225001
OBS	AUTOIMMUNE_IMMUNE	Vasculitis	31996006
OBS	AUTOIMMUNE_IMMUNE	Anti nuclear factor titre	1017871000000100
OBS	CONSTITUTIONAL_SYMPTOMS	No general symptom	161915001
OBS	CONSTITUTIONAL_SYMPTOMS	General symptoms	267022002
OBS	CONSTITUTIONAL_SYMPTOMS	Sweating symptom	161857006
OBS	CONSTITUTIONAL_SYMPTOMS	[D]Bloating	248490000
OBS	CONSTITUTIONAL_SYMPTOMS	Vomiting	300359004
OBS	CONSTITUTIONAL_SYMPTOMS	Gastrointestinal symptoms	267045008
OBS	CONSTITUTIONAL_SYMPTOMS	Central chest pain	161972006
OBS	CONSTITUTIONAL_SYMPTOMS	Cough symptom NOS	272039006
OBS	CONSTITUTIONAL_SYMPTOMS	Chesty cough	161929000
OBS	CONSTITUTIONAL_SYMPTOMS	Respiratory symptoms	161920001
OBS	CONSTITUTIONAL_SYMPTOMS	Respiratory system disease	50043002
OBS	CONSTITUTIONAL_SYMPTOMS	Pleurisy	196075003
OBS	CONSTITUTIONAL_SYMPTOMS	Pleural effusion	60046008
OBS	CONSTITUTIONAL_SYMPTOMS	Ascites	389026000
