EVENT_TYPE	CATEGORY	TERM	CODE
OBS	MOLE_NAEVUS_PIGMENTED_LESION	[X]Melanocytic naevi, unspecified	400010006
OBS	MOLE_NAEVUS_PIGMENTED_LESION	[M]Pigmented naevus NOS	21119008
OBS	MOLE_NAEVUS_PIGMENTED_LESION	Skin - benign mole and naevus	92384009
OBS	MOLE_NAEVUS_PIGMENTED_LESION	Skin - benign mole and naevus (variant)	286903005
OBS	MOLE_NAEVUS_PIGMENTED_LESION	Naevus NEC	239107007
OBS	MOLE_NAEVUS_PIGMENTED_LESION	Melanocytic naevus of trunk	109283002
OBS	MOLE_NAEVUS_PIGMENTED_LESION	Dermal and epidermal naevus	49409001
OBS	MOLE_NAEVUS_PIGMENTED_LESION	Blue naevus of skin	254806009
OBS	MOLE_NAEVUS_PIGMENTED_LESION	[M]Dermal naevus	112681002
OBS	MOLE_NAEVUS_PIGMENTED_LESION	Naevus of choroid	255024002
OBS	MOLE_NAEVUS_PIGMENTED_LESION	Lentigo	767376003
OBS	MOLE_NAEVUS_PIGMENTED_LESION	Lentigo - freckle	201285006
OBS	MOLE_NAEVUS_PIGMENTED_LESION	Pigmented skin lesion	201340008
OBS	MOLE_NAEVUS_PIGMENTED_LESION	O/E - pigmented skin lesion	315209002
OBS	MOLE_NAEVUS_PIGMENTED_LESION	Mixed colour of pigmented skin lesion	315255000
OBS	MOLE_NAEVUS_PIGMENTED_LESION	Irregular outline of pigmented skin lesion	315253007
OBS	MOLE_NAEVUS_PIGMENTED_LESION	Oozing of pigmented skin lesion	315257008
OBS	MOLE_NAEVUS_PIGMENTED_LESION	Dysplastic naevus	61814002
OBS	MOLE_NAEVUS_PIGMENTED_LESION	B-K mole (nevus) syndrome	254819008
OBS	MOLE_NAEVUS_PIGMENTED_LESION	[M]Hutchinson's melanotic freckle	61217001
OBS	NICE_7PCL_FEATURES	Weighted 7-point checklist for pigmented skin lesions score	1971171000006107
OBS	NICE_7PCL_FEATURES	Weighted 7PCL - change in size of lesion	1971181000006105
OBS	NICE_7PCL_FEATURES	Weighted 7PCL - irregular pigmentation	1971191000006108
OBS	NICE_7PCL_FEATURES	Weighted 7PCL - irregular border	1971201000006106
OBS	NICE_7PCL_FEATURES	Weighted 7PCL - inflammation	1971211000006109
OBS	NICE_7PCL_FEATURES	Weighted 7PCL - itch or altered sensation	1971221000006101
OBS	NICE_7PCL_FEATURES	Weighted 7PCL - larger than other lesions	1971231000006103
OBS	NICE_7PCL_FEATURES	Weighted 7PCL - oozing/crusting of lesion	1971241000006108
OBS	SKIN_LESION_PRESENTATION	Skin lesion	95324001
OBS	SKIN_LESION_PRESENTATION	O/E - skin lesion	275869006
OBS	SKIN_LESION_PRESENTATION	Lesion	52988006
OBS	SKIN_LESION_PRESENTATION	Lesion of face	767811005
OBS	SKIN_LESION_PRESENTATION	Sun damaged skin	43982006
OBS	SKIN_LESION_PRESENTATION	Senile hyperkeratosis	398838000
OBS	SKIN_LESION_PRESENTATION	Fibrous histiocytoma of skin	254750001
OBS	SKIN_LESION_PRESENTATION	Change in skin lesion	394896005
OBS	SKIN_LESION_PRESENTATION	Altered sensation of skin	247325003
OBS	SKIN_LESION_PRESENTATION	Skin disorder monitoring	170856006
OBS	RISK_FACTOR	Fitzpatrick classification of skin type	443635002
OBS	SUN_DAMAGE_PRE_MALIGNANT	Solar keratosis	201101007
OBS	SUN_DAMAGE_PRE_MALIGNANT	Solar lentigo	72100002
OBS	SUN_DAMAGE_PRE_MALIGNANT	Cutaneous horn	403871001
OBS	SUN_DAMAGE_PRE_MALIGNANT	Bowen's disease of skin	254656002
OBS	SUN_DAMAGE_PRE_MALIGNANT	Bowen's disease	84999002
OBS	PRIOR_SKIN_CANCER_BCC_SCC	Squamous cell carcinoma	28899001
OBS	PRIOR_SKIN_CANCER_BCC_SCC	Squamous cell carcinoma - category	400155002
OBS	PRIOR_SKIN_CANCER_BCC_SCC	Basal cell carcinoma	1338007
OBS	PRIOR_SKIN_CANCER_BCC_SCC	Basal cell carcinoma, nodular	128636006
OBS	PRIOR_SKIN_CANCER_BCC_SCC	Excision biopsy basal cell carcinoma	428796002
OBS	OTHER_SKIN_LESIONS	Keratoacanthoma	254662007
OBS	OTHER_SKIN_LESIONS	Pyogenic granuloma	200722003
OBS	OTHER_SKIN_LESIONS	Keratosis	254666005
OBS	OTHER_SKIN_LESIONS	Papilloma of skin	255184001
OBS	OTHER_SKIN_LESIONS	Haemangioma	400210000
OBS	OTHER_SKIN_LESIONS	Senile angioma	5050001
OBS	OTHER_SKIN_LESIONS	Chondrodermatitis nodularis helicis	76583009
OBS	OTHER_SKIN_LESIONS	Skin symptom change	170859004
OBS	DERMATOSCOPY_PHOTOGRAPHY	Diagnostic dermatoscopy of skin	427690002
OBS	DERMATOSCOPY_PHOTOGRAPHY	Clinical photograph taken by general practitioner	755131000000105
OBS	DERMATOSCOPY_PHOTOGRAPHY	Refer for medical photography	183834004
OBS	DERMATOSCOPY_PHOTOGRAPHY	Skin lesion photography	252983000
OBS	DERMATOSCOPY_PHOTOGRAPHY	Dermoscopic photography	446078004
OBS	DERMATOSCOPY_PHOTOGRAPHY	Medical photography	169283005
OBS	PRIOR_SKIN_PROCEDURES_BIOPSY	Skin lesion excision	35646002
OBS	PRIOR_SKIN_PROCEDURES_BIOPSY	Excision biopsy of skin lesion	312968005
OBS	PRIOR_SKIN_PROCEDURES_BIOPSY	Excision biopsy of lesion of skin of head or neck	312967000
OBS	PRIOR_SKIN_PROCEDURES_BIOPSY	Excision of multiple skin lesions	177278007
OBS	PRIOR_SKIN_PROCEDURES_BIOPSY	Punch biopsy of skin lesion	302399005
OBS	PRIOR_SKIN_PROCEDURES_BIOPSY	Punch biopsy of skin	87697008
OBS	PRIOR_SKIN_PROCEDURES_BIOPSY	Shave excision of skin lesion	302390009
OBS	PRIOR_SKIN_PROCEDURES_BIOPSY	Curettage of skin lesion	87591000
OBS	PRIOR_SKIN_PROCEDURES_BIOPSY	Curettage and cauterisation of skin lesion	302391008
OBS	PRIOR_SKIN_PROCEDURES_BIOPSY	Minor surgery done - excision	184477002
OBS	PRIOR_SKIN_PROCEDURES_BIOPSY	Biopsy of skin	240977001
OBS	PRIOR_SKIN_PROCEDURES_BIOPSY	Excision of skin of head and neck	25757008
OBS	PRIOR_SKIN_PROCEDURES_BIOPSY	Other excision of skin NOS	440258006
OBS	PRIOR_SKIN_PROCEDURES_BIOPSY	Cryotherapy of actinic keratosis	445111008
OBS	PRIOR_SKIN_PROCEDURES_BIOPSY	Incision biopsy of skin	282014007
OBS	PRIOR_SKIN_PROCEDURES_BIOPSY	Excisional biopsy	8889005
OBS	PRIOR_SKIN_PROCEDURES_BIOPSY	Surgical biopsy taken	165129008
OBS	PRIOR_SKIN_PROCEDURES_BIOPSY	Biopsy of lesion of skin	450623005
OBS	PRIOR_SKIN_PROCEDURES_BIOPSY	Removal of mole of skin by excision	303650005
OBS	WIDE_EXCISION_GRAFTING	Grafting to skin	304040003
OBS	WIDE_EXCISION_GRAFTING	Split thickness skin graft	3734003
OBS	CRYOTHERAPY	Cryotherapy to skin lesion	302396003
OBS	CRYOTHERAPY	Cryotherapy	257786008
OBS	CRYOTHERAPY	Minor surgery done - cryotherapy	90491000000103
OBS	SKIN_SYMPTOMS	Complaining of a rash	162415008
OBS	SKIN_SYMPTOMS	O/E - itchy rash	304386008
OBS	SKIN_SYMPTOMS	Pruritus of skin	279333002
OBS	SKIN_SYMPTOMS	O/E - rash present	268911002
OBS	SKIN_SYMPTOMS	Symptoms of skin and integumentary tissue	271804005
OBS	SKIN_SYMPTOMS	[D]Skin symptoms NOS	308926009
OBS	SKIN_SYMPTOMS	Skin and subcutaneous tissue inflammatory disorders NOS	363168001
OBS	SKIN_SYMPTOMS	Pruritus ani	90446007
OBS	SKIN_TREATMENT_WOUND	Injection of therapeutic substance into skin	177639003
OBS	SKIN_TREATMENT_WOUND	Minor surgery done - incision	184476006
OBS	SKIN_TREATMENT_WOUND	Dressing of skin or wound	3895009
OBS	SKIN_TREATMENT_WOUND	Checking dressing of skin	225143001
OBS	SKIN_TREATMENT_WOUND	Post-surgical wound care	226007004
OBS	SKIN_TREATMENT_WOUND	Postoperative wound infection	58126003
OBS	SKIN_TREATMENT_WOUND	Removal of suture of skin	302415002
OBS	SKIN_TREATMENT_WOUND	Removal of suture from skin of head or neck	177565006
OBS	SUTURE_POST_OP_MINOR_SURGERY	Removal of sutures	30549001
OBS	SUTURE_POST_OP_MINOR_SURGERY	Removal of surgical material and sutures	315603008
OBS	SUTURE_POST_OP_MINOR_SURGERY	Suture removal generated from secondary care done by practice	185621000000100
OBS	SUTURE_POST_OP_MINOR_SURGERY	Minor surgery done - other	314471005
OBS	SUTURE_POST_OP_MINOR_SURGERY	Single-use minor surgery pack used	1824561000006101
OBS	SUTURE_POST_OP_MINOR_SURGERY	Minor surgery done - cautery	184473003
OBS	MINOR_SURGERY_ADMIN	Minor surgery information leaflet given	198891000000109
OBS	HISTOLOGY	Histopathology test	252416005
OBS	HISTOLOGY	Histology laboratory test	992831000000108
OBS	HISTOLOGY	Histology abnormal	309198006
OBS	HISTOLOGY	Specimen sent for histology	168396003
OBS	HISTOLOGY	Tissue sent for histology	168395004
OBS	FAMILY_HISTORY	Family history of neoplasm of skin	160288009
OBS	FAMILY_HISTORY	Family history of malignant melanoma	427858005
OBS	FAMILY_HISTORY	Family history of neoplasm	266883004
OBS	FAMILY_HISTORY	Family history of malignant neoplasm of skin	429405004
