EVENT_TYPE	CATEGORY	TERM	CODE
OBS	ALP_BONE_MARKER	Plasma alkaline phosphatase level	1013041000000106
OBS	ALP_BONE_MARKER	Serum alkaline phosphatase liver isoenzyme level	1000841000000105
OBS	BONE_MUSCLE	Creatine kinase level	1028101000000105
OBS	CALCIUM	Blood calcium level	1027931000000101
OBS	CALCIUM	Plasma calcium level	1017391000000108
OBS	CATHETER	Blocked catheter	275413005
OBS	CATHETER	Catheter urine sent for culture	168339008
OBS	CATHETER	Insertion of suprapubic catheter	129252005
OBS	CATHETER	Urinary catheter care	225087008
OBS	COAGULATION	Coagulation tests	1028641000000101
OBS	CONSTITUTIONAL	C/O - 'tired all the time'	272062008
OBS	CONSTITUTIONAL	Weight symptom NOS	161829004
OBS	CONSTITUTIONAL	[D]Tiredness	267031002
OBS	DRE	O/E - PR - Diffusely enlarged prostate	279031000006106
OBS	DRE	O/E - PR - prostatic swelling	271302001
OBS	DRE	O/E -rectal examination	274296009
OBS	DRE	On rectal examination of prostate abnormality detected	801000119105
OBS	DRE	Prostate enlarged on PR	275302008
OBS	DRE	Prostate mass	309089006
OBS	DRE	Rectal examination	410007005
OBS	ELECTROLYTES	Corrected serum calcium level	935051000000108
OBS	ELECTROLYTES	Plasma potassium level	1017401000000106
OBS	ELECTROLYTES	Plasma sodium level	1017381000000106
OBS	ELECTROLYTES	Serum calcium level	1000691000000101
OBS	ELECTROLYTES	Serum potassium level	1000651000000109
OBS	ELECTROLYTES	Serum sodium level	1000661000000107
OBS	ELECTROLYTES	Urea and electrolytes level	1000971000000107
OBS	ERECTILE_DYSFUNCTION	Advice about impotence	135885005
OBS	ERECTILE_DYSFUNCTION	Erectile dysfunction	860914002
OBS	ERECTILE_DYSFUNCTION	Psychosexual dysfunction	268637002
OBS	ERECTILE_DYSFUNCTION	[X]Male erectile disorder	397803000
OBS	EXAMINATION	C/O: a swelling	162410003
OBS	FBC_HAEMATOLOGY	Basophil count	1022571000000108
OBS	FBC_HAEMATOLOGY	Eosinophil count	1022561000000101
OBS	FBC_HAEMATOLOGY	Erythrocyte sedimentation rate	1022511000000103
OBS	FBC_HAEMATOLOGY	FBC - full blood count	1022441000000101
OBS	FBC_HAEMATOLOGY	Haematocrit	1022291000000105
OBS	FBC_HAEMATOLOGY	Haemoglobin estimation	1022431000000105
OBS	FBC_HAEMATOLOGY	Lymphocyte count	1022581000000105
OBS	FBC_HAEMATOLOGY	MCH - Mean corpuscular haemoglobin	1022471000000107
OBS	FBC_HAEMATOLOGY	MCHC - Mean corpuscular haemoglobin concentration	1022481000000109
OBS	FBC_HAEMATOLOGY	MCV - Mean corpuscular volume	1022491000000106
OBS	FBC_HAEMATOLOGY	Monocyte count	1022591000000107
OBS	FBC_HAEMATOLOGY	Neutrophil count	1022551000000104
OBS	FBC_HAEMATOLOGY	Platelet count	1022651000000100
OBS	FBC_HAEMATOLOGY	Red blood cell count	1022451000000103
OBS	FBC_HAEMATOLOGY	Red blood cell distribution width	993501000000105
OBS	FBC_HAEMATOLOGY	Total white cell count	1022541000000102
OBS	HAEMATOLOGY	Large unstained cells	993551000000106
OBS	HAEMATURIA	Frank haematuria	197941005
OBS	HAEMATURIA	Haematuria	34436003
OBS	HAEMATURIA	History of haematuria	161550001
OBS	HAEMATURIA	Leucocytes in urine	275741008
OBS	HAEMATURIA	Painless haematuria	197938001
OBS	HAEMATURIA	RBCs seen on microscopy	168130002
OBS	HAEMATURIA	Sample microscopy: red cells	999131000000106
OBS	HAEMATURIA	Urine blood test = +	167300001
OBS	HAEMATURIA	Urine blood test = ++	167301002
OBS	HAEMATURIA	Urine blood test = +++	167302009
OBS	HAEMATURIA	Urine microscopy: pus cells	1041881000000101
OBS	HAEMATURIA	Urine microscopy: red cells	1038641000000104
OBS	HAEMATURIA	Urine microscopy:RBC's present	271349002
OBS	HORMONAL	Gonadotrophin levels	997121000000100
OBS	HORMONAL	Prolactin level	1027171000000101
