code_id,code_type,category,term,combined_score,combined_rank,code_tier,category_model_tier
145679,snomed,History - Radiation Exposure,History of radiation exposure,0.6359489206993301,4.0,STRONG,MEDIUM
2644224,cpt,Screening - Mammography,Computer-aided detection (screening mammography),0.5999200811465702,5.0,STRONG,STRONG
1220784,hcpcs,Screening - Mammography,"Screening mammography, bilateral",0.5305522798008053,9.0,STRONG,STRONG
1083226,rxnorm,Medication - Supplements / Vitamins,Vitamin D 1000 UNT Oral Tablet,0.5242422387552903,11.0,STRONG,MEDIUM
976317,rxnorm,Medication - Cardiac,aspirin 81 MG Oral Tablet,0.4061722963295078,18.0,STRONG,MEDIUM
2644035,cpt,General Imaging,"Radiologic examination, chest, 2 views, frontal and lateral",0.3481618331319587,22.0,STRONG,MEDIUM
988340,rxnorm,Medication - Antihypertensives,hydrochlorothiazide 25 MG Oral Tablet,0.3269935146726788,27.0,STRONG,MEDIUM
954885,rxnorm,Medication - Statins (Lipid Lowering),simvastatin 40 MG Oral Tablet,0.3254582519354819,28.0,STRONG,MEDIUM
319555,snomed,Lifestyle - Diet/Nutrition,Nutrition,0.2866592171195006,34.0,STRONG,LOW
5450036,truveta,Lifestyle - Alcohol Use,Binge drinking frequency,0.2786729884321449,37.0,STRONG,MEDIUM
2638188,cpt,Screening - Mammography,Screening mammography results documented and reviewed,0.2773900778642622,38.0,STRONG,STRONG
954568,rxnorm,Medication - GI / Acid Suppression,ranitidine 150 MG Oral Tablet,0.2723388356725833,39.0,STRONG,MEDIUM
2644219,cpt,Screening - Mammography,"Screening mammography, bilateral v2",0.2399683744540099,52.0,MEDIUM,STRONG
838606,loinc,Lifestyle - Tobacco Use,Have you used tobacco in the last 30 days [SAMHSA],0.2358904574086591,57.0,MEDIUM,MEDIUM
359476,snomed,Comorbidity - Atypical Hyperplasia,Atypical ductal hyperplasia of breast,0.2270914286327785,63.0,MEDIUM,ZERO
842451,loinc,Symptoms - Pain,Pain severity - 0-10 verbal numeric rating [Score] - Reported,0.2231059781221575,66.0,MEDIUM,MEDIUM
408920,snomed,Lifestyle - Tobacco Use,Electronic cigarette user,0.2178398059398015,72.0,MEDIUM,MEDIUM
985313,rxnorm,Medication - Statins (Lipid Lowering),simvastatin 20 MG Oral Tablet,0.2160713073610798,75.0,MEDIUM,MEDIUM
864908,loinc,Lifestyle - Social Determinants of Health,Whether patient resides in a congregate care setting,0.2155101020367081,76.0,MEDIUM,MEDIUM
613266,icd10cm,History - Radiation Exposure,Personal history of irradiation,0.2133451104696667,78.0,MEDIUM,MEDIUM
966107,rxnorm,Medication - Antibiotics,azithromycin 250 MG Oral Tablet [Zithromax],0.2133142886756839,79.0,MEDIUM,MEDIUM
180739,snomed,Symptoms - Breast Lump,Breast signs and symptoms,0.2128946994007753,80.0,MEDIUM,MEDIUM
1035875,rxnorm,Medication - Supplements / Vitamins,chondroitin sulfates / glucosamine Oral Capsule,0.2127437665647543,81.0,MEDIUM,MEDIUM
798942,loinc,Comorbidity - Respiratory / ENT,Airway clearance impairment [CCC],0.2125685448454328,83.0,MEDIUM,MEDIUM
2644363,cpt,General Imaging,"Radiologic examination, abdomen; single anteroposterior view",0.2115116782133761,84.0,MEDIUM,MEDIUM
1152119,rxnorm,Medication - Respiratory (Chronic),Albuterol Metered Dose Inhaler [ProAir HFA],0.2106790836454779,86.0,MEDIUM,MEDIUM
42883,snomed,Medication - Supplements (OTC),Ruta graveolens,0.2101442503696179,90.0,MEDIUM,LOW
181020,snomed,Symptoms - Genitourinary,Female genital organ symptoms,0.2099973966231619,91.0,MEDIUM,ZERO
1052323,rxnorm,Medication - Antihypertensives,metoprolol tartrate 25 MG Oral Tablet,0.2099951680752575,92.0,MEDIUM,MEDIUM
1030831,rxnorm,Medication - GI / Acid Suppression,esomeprazole 40 MG Delayed Release Oral Capsule [Nexium],0.2084855610181811,94.0,MEDIUM,MEDIUM
949099,rxnorm,Medication - Allergy / Respiratory,fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray [Flonase],0.2076547157508694,95.0,MEDIUM,MEDIUM
145840,snomed,Symptoms - Breast Lump,H/O: breast problem,0.2068759893023932,98.0,MEDIUM,MEDIUM
291258,snomed,General Imaging,Magnetic resonance imaging - action,0.20593859802729,99.0,MEDIUM,MEDIUM
919120,rxnorm,Medication - Respiratory (Chronic),albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Proventil],0.2055863087835628,100.0,MEDIUM,MEDIUM
1008593,rxnorm,Medication - Antihypertensives,hydrochlorothiazide / triamterene Oral Tablet,0.2055126110519952,101.0,MEDIUM,MEDIUM
5450009,truveta,Lifestyle - Social Determinants of Health,Incarceration within the past 2 years - Tuberculosis screening,0.2053406176030713,103.0,MEDIUM,MEDIUM
951882,rxnorm,Medication - Cardiac,digoxin 0.25 MG Oral Tablet,0.2048255696346136,104.0,MEDIUM,MEDIUM
899212,rxnorm,Medication - Supplements / Vitamins,Ocuvite Oral Product,0.204560494884849,105.0,MEDIUM,MEDIUM
864905,loinc,Lifestyle - Social Determinants of Health,Whether patient is employed in a healthcare setting,0.2044543181280692,106.0,MEDIUM,MEDIUM
54622,snomed,Comorbidity - Benign Breast,Benign mammary dysplasia,0.2042736718572282,107.0,MEDIUM,ZERO
950961,rxnorm,Medication - Antihypertensives,atenolol 50 MG Oral Tablet,0.2022764819791993,110.0,MEDIUM,MEDIUM
239670,snomed,Lifestyle - Sleep,Sleep,0.2019144130780962,111.0,MEDIUM,ZERO
1001426,rxnorm,Medication - Hormone Therapy (HRT),"estrogens, conjugated (USP) Oral Tablet [Premarin]",0.2015017209695014,113.0,MEDIUM,ZERO
836756,loinc,Symptoms - General,Cognitive impairment [Reported],0.2009498785984468,115.0,MEDIUM,MEDIUM
281973,snomed,Lifestyle - Social Determinants of Health,"Household, family and support network detail",0.2005146491695233,116.0,MEDIUM,MEDIUM
1012365,rxnorm,Medication - Supplements / Vitamins,ubidecarenone Oral Capsule,0.1949815807447132,136.0,MEDIUM,MEDIUM
420241,snomed,Comorbidity - GI / GU,Diverticulum of large intestine without hemorrhage,0.1938723690122072,139.0,MEDIUM,MEDIUM
1050814,rxnorm,Medication - Bone Health,6 ML hylan G-F 20 8 MG/ML Prefilled Syringe,0.1935268147157984,141.0,MEDIUM,ZERO
