Code,Name,Category
809081000000100,Abdominal aortic aneurysm screen ultrasound scan normal,AAA test
698356002,Abdominal aortic aneurysm screening,AAA test
698461004,Aortic aneurysm screening normal,AAA test
49436004,Atrial fibrillation,AF
248411000000105,Atrial fibrillation annual review,AF
42208511000001101,Digoxin 125microgram tablets,AF medication
939531000000109,Provision of written information about acute kidney injury,AKI
48167000,Amnesia,Amnesia
194828000,Angina pectoris,Angina
267039000,Ankle swelling,Ankle swelling
19842211000001107,Rivaroxaban 20mg tablets,Anticoagulant
22193007,Degenerative joint disease of hand,Arthritis
201819000,Generalised osteoarthritis,Arthritis
396275006,Osteoarthritis,Arthritis
239872002,Osteoarthritis of hip,Arthritis
195967001,Asthma,Asthma
370207001,Asthma limits walking up hills or stairs,Asthma
222311000001102,Ventolin 100micrograms/dose Evohaler (GlaxoSmithKline UK Ltd),Asthma medication - bronchodilator
39113611000001102,Salbutamol 100micrograms/dose inhaler CFC free,Asthma medication - bronchodilator
32921008,Audiogram,Audio test
170823005,B12 injections - at surgery,B12 deficiency - medication
39731911000001109,Amlodipine 10mg tablets,Blood pressure medication
39732011000001102,Amlodipine 5mg tablets,Blood pressure medication
1091811000000102,Diastolic arterial pressure,Blood pressure test
72313002,Systolic arterial pressure,Blood pressure test
315613000,Target diastolic blood pressure,Blood pressure test
315612005,Target systolic blood pressure,Blood pressure test
1000821000000103,Serum albumin level,Blood test - albumin
1000621000000104,Serum alkaline phosphatase level,Blood test - ALP
1018251000000107,Serum alanine aminotransferase level,Blood test - ALT
1022571000000108,Basophil count,Blood test - Basophil count
1012131000000106,Brain natriuretic peptide level,Blood test - BNP
1016291000000103,Plasma B natriuretic peptide level,Blood test - BNP
998431000000108,Serum N-terminal pro B-type natriuretic peptide concentration,Blood test - BNP
935051000000108,Serum adjusted calcium concentration,Blood test - calcium
1000691000000101,Serum calcium level,Blood test - calcium
1026701000000107,Carcinoembryonic antigen level,Blood test - CEA
1005671000000105,Serum cholesterol level,Blood test - cholesterol
1015681000000109,Serum cholesterol/high density lipoprotein ratio,Blood test - cholesterol
1005681000000107,Serum high density lipoprotein cholesterol level,Blood test - cholesterol
1.02219E+15,Serum low density lipoprotein cholesterol level,Blood test - cholesterol
1006191000000106,Serum non high density lipoprotein cholesterol level,Blood test - cholesterol
1005691000000109,Serum triglycerides level,Blood test - cholesterol
968191000000100,Estimated creatinine clearance (Cockcroft-Gault formula),Blood test - Creatine clearance
1000731000000107,Serum creatinine level,Blood test - creatinine
999651000000107,Plasma C reactive protein,Blood test - CRP
1.00137E+15,Serum CRP (C reactive protein) level,Blood test - CRP
1020291000000106,GFR (glomerular filtration rate) calculated by abbreviated Modification of Diet in Renal Disease Study Group calculation,Blood test - eGFR
1022561000000101,Eosinophil count,Blood test - Eosinophil count
1022511000000103,Erythrocyte sedimentation rate,Blood test - ESR
1022441000000101,FBC - full blood count,Blood test - FBC
1022291000000105,Haematocrit,Blood test - haematocrit
999791000000106,Haemoglobin A1c level - International Federation of Clinical Chemistry and Laboratory Medicine standardised,Blood test - HbA1c
1022431000000105,Haemoglobin estimation,Blood test - HbA1c
271026005,Haemoglobin level estimation,Blood test - HbA1c
997011000000105,IgG,Blood test - IgG
997021000000104,IgM,Blood test - IgM
1000921000000108,Serum lactate dehydrogenase level,Blood test - LDH
997531000000108,Liver function test,Blood test - LFTs
1.02265E+15,Platelet count,Blood test - platelets
1000651000000109,Serum potassium level,Blood test - Potassium
1022181000000102,Serum protein electrophoresis,Blood test - protein electrophoresis
396152005,Raised PSA,Blood test - PSA
1000381000000105,Serum PSA (prostate specific antigen) level,Blood test - PSA
1022451000000103,Red blood cell count,Blood test - RBC
1017381000000106,Plasma sodium level,Blood test - sodium
1000661000000107,Serum sodium level,Blood test - sodium
1022791000000101,Serum TSH (thyroid stimulating hormone) level,Blood test - TSH
1000951000000103,Serum urea level,Blood test - urea
1022541000000102,Total white cell count,Blood test - WCC
241686001,DEXA - Dual energy X-ray photon absorptiometry,Bone density test
266569009,Benign prostatic hypertrophy,BPH
42209111000001103,Doxazosin 1mg tablets,BPH and blood pressure medication
42209211000001109,Doxazosin 2mg tablets,BPH and blood pressure medication
42036011000001106,Finasteride 5mg tablets,BPH medication
38754011000001109,Tamsulosin 400microgram modified-release capsules,BPH medication
161940008,Breathless - mild exertion,Breathlessness
161939006,Breathless - moderate exertion,Breathlessness
267036007,Dyspnoea,Breathlessness
60845006,Dyspnoea on exertion,Breathlessness
391120009,MRC Breathlessness Scale: grade 1,Breathlessness
391123006,MRC Breathlessness Scale: grade 2,Breathlessness
391124000,MRC Breathlessness Scale: grade 3,Breathlessness
391125004,MRC Breathlessness Scale: grade 4,Breathlessness
492611000000102,Cardiovascular disease high risk review,Cardiovascular disease
170601008,CHD monitoring,Cardiovascular disease
315614006,Coronary heart disease annual review,Cardiovascular disease
401250009,Coronary heart disease monitoring 1st letter,Cardiovascular disease
401251008,Coronary heart disease monitoring 2nd letter,Cardiovascular disease
161640005,High risk of heart disease,Cardiovascular disease
704180000,"Hypertension, abnormal renal/liver function, stroke, bleeding history or predisposition, labile international normalized ratio, elderly over 65, and drugs/alcohol concomitantly bleeding risk score",Cardiovascular disease
63491006,Intermittent claudication,Cardiovascular disease
400047006,Peripheral vascular disease,Cardiovascular disease
1084161000000107,Right brachial Doppler pressure,Cardiovascular disease
1026401000000103,Serum pro-BNP peptide level,Cardiovascular disease
414545008,Ischaemic heart disease,Cardiovascular disease
1087531000000101,Left dorsalis pedis Doppler pressure,Cardiovascular disease test
1084151000000109,Left posterior tibial Doppler pressure,Cardiovascular disease test
1087541000000105,Right dorsalis pedis Doppler pressure,Cardiovascular disease test
1084141000000106,Right posterior tibial Doppler pressure,Cardiovascular disease test
315054007,ACE inhibitor prophylaxis,Cardiovascular medication
1364181000000104,Direct-acting oral anticoagulant dose unchanged,Cardiovascular medication - anticoagulant
134392003,Warfarin not indicated,Cardiovascular medication - anticoagulant - not
42206511000001102,Apixaban 5mg tablets,Cardiovascular medication - anticoagulation
